Lat,Lon,Month,Year,isoP
47.98,-55.82,5,2003,-7.059876829
47.98,-55.82,6,2003,-8.298537787
47.98,-55.82,7,2003,-7.205971717
47.98,-55.82,8,2003,-6.829650769
47.98,-55.82,9,2003,-6.893510552
47.98,-55.82,10,2003,-8.403619639
47.98,-55.82,11,2003,-10.00850299
47.98,-55.82,12,2003,-10.77033515
47.98,-55.82,1,2004,-16.25683044
47.98,-55.82,2,2004,-12.3018721
47.98,-55.82,3,2004,-12.49560428
47.98,-55.82,4,2004,-10.56072652
47.98,-55.82,5,2004,-6.748603054
47.98,-55.82,6,2004,-9.636229573
47.98,-55.82,7,2004,-6.276759256
47.98,-55.82,8,2004,-7.019399017
47.98,-55.82,9,2004,-7.840220428
47.98,-55.82,10,2004,-7.879969629
47.98,-55.82,11,2004,-10.18439258
47.98,-55.82,12,2004,-10.41746314
47.98,-55.82,1,2005,-13.04593384
47.98,-55.82,2,2005,-12.803881
47.98,-55.82,3,2005,-11.16772181
47.98,-55.82,4,2005,-9.949171078
47.98,-55.82,5,2005,-6.464130395
47.98,-55.82,6,2005,-7.954721663
47.98,-55.82,7,2005,-6.743072668
47.98,-55.82,8,2005,-7.741149526
47.98,-55.82,9,2005,-7.306439968
47.98,-55.82,10,2005,-7.225412524
47.98,-55.82,11,2005,-8.85164589
47.98,-55.82,12,2005,-10.33144619
47.98,-55.82,1,2006,-10.68635258
47.98,-55.82,2,2006,-12.42429815
47.98,-55.82,3,2006,-9.221572682
47.98,-55.82,4,2006,-11.65212323
47.98,-55.82,5,2006,-7.307824454
47.98,-55.82,6,2006,-6.141932831
47.98,-55.82,7,2006,-6.33724549
47.98,-55.82,8,2006,-7.105663513
47.98,-55.82,9,2006,-7.176122594
47.98,-55.82,10,2006,-8.97612553
47.98,-55.82,11,2006,-9.001243122
47.98,-55.82,12,2006,-11.55217228
47.98,-55.82,1,2007,-11.8580482
47.98,-55.82,2,2007,-14.06268584
47.98,-55.82,3,2007,-9.71186897
47.98,-55.82,4,2007,-11.67674099
47.98,-55.82,5,2007,-10.31745069
47.98,-55.82,6,2007,-6.76254557
47.98,-55.82,7,2007,-7.273267018
47.98,-55.82,8,2007,-6.651832316
47.98,-55.82,9,2007,-6.26701901
47.98,-55.82,10,2007,-7.565105906
47.98,-55.82,11,2007,-8.74343411
47.98,-55.82,12,2007,-14.42079595
69.6,-105.8,1,2003,-30.04523039
69.6,-105.8,2,2003,-33.70159124
69.6,-105.8,3,2003,-29.97016725
69.6,-105.8,4,2003,-26.42142611
69.6,-105.8,5,2003,-23.92818352
69.6,-105.8,6,2003,-21.12271573
69.6,-105.8,7,2003,-17.1331872
69.6,-105.8,8,2003,-17.97875881
69.6,-105.8,9,2003,-17.38771326
69.6,-105.8,10,2003,-19.47544927
69.6,-105.8,11,2003,-27.80178041
69.6,-105.8,12,2003,-30.53420859
69.6,-105.8,1,2004,-34.07746818
69.6,-105.8,2,2004,-30.42235518
69.6,-105.8,3,2004,-34.21821576
69.6,-105.8,4,2004,-30.1404897
69.6,-105.8,5,2004,-26.17583305
69.6,-105.8,6,2004,-18.55586463
69.6,-105.8,7,2004,-17.05492005
69.6,-105.8,8,2004,-17.69570753
69.6,-105.8,9,2004,-18.71788802
69.6,-105.8,10,2004,-24.23561367
69.6,-105.8,11,2004,-27.97928906
69.6,-105.8,12,2004,-34.07165398
69.6,-105.8,1,2005,-33.57359094
69.6,-105.8,2,2005,-32.51971419
69.6,-105.8,3,2005,-28.34130874
69.6,-105.8,4,2005,-24.45037061
69.6,-105.8,5,2005,-23.84536016
69.6,-105.8,6,2005,-21.29701888
69.6,-105.8,7,2005,-16.54630485
69.6,-105.8,8,2005,-17.15646969
69.6,-105.8,9,2005,-17.99846032
69.6,-105.8,10,2005,-22.11071871
69.6,-105.8,11,2005,-27.24447152
69.6,-105.8,12,2005,-29.79167816
69.6,-105.8,1,2006,-30.57977652
69.6,-105.8,2,2006,-28.24576796
69.6,-105.8,3,2006,-22.6174474
69.6,-105.8,4,2006,-27.01425117
69.6,-105.8,5,2006,-22.32402942
69.6,-105.8,6,2006,-18.64505257
69.6,-105.8,7,2006,-16.17890645
69.6,-105.8,8,2006,-17.00537501
69.6,-105.8,9,2006,-16.25175579
69.6,-105.8,10,2006,-20.90083062
69.6,-105.8,11,2006,-29.06030741
69.6,-105.8,12,2006,-28.20909162
69.6,-105.8,1,2007,-30.54724119
69.6,-105.8,2,2007,-31.60306694
69.6,-105.8,3,2007,-34.10114283
69.6,-105.8,4,2007,-26.61979951
69.6,-105.8,5,2007,-26.07196524
69.6,-105.8,6,2007,-19.34400898
69.6,-105.8,7,2007,-15.60263837
69.6,-105.8,8,2007,-16.04608949
69.6,-105.8,9,2007,-19.18811809
69.6,-105.8,10,2007,-21.99385145
69.6,-105.8,11,2007,-30.58371847
69.6,-105.8,12,2007,-31.23554739
53.32,-60.42,1,2003,-18.87091097
53.32,-60.42,2,2003,-20.14288057
53.32,-60.42,3,2003,-20.09881696
53.32,-60.42,4,2003,-15.95488646
53.32,-60.42,5,2003,-11.5075384
53.32,-60.42,6,2003,-11.63090165
53.32,-60.42,7,2003,-12.35500563
53.32,-60.42,8,2003,-11.46479019
53.32,-60.42,9,2003,-9.288589453
53.32,-60.42,10,2003,-13.604252
53.32,-60.42,11,2003,-17.00949596
53.32,-60.42,12,2003,-17.20023715
53.32,-60.42,1,2004,-19.51374106
53.32,-60.42,2,2004,-20.26314229
53.32,-60.42,3,2004,-19.19051996
53.32,-60.42,4,2004,-15.52073172
53.32,-60.42,5,2004,-12.11859133
53.32,-60.42,6,2004,-12.40772415
53.32,-60.42,7,2004,-10.32367926
53.32,-60.42,8,2004,-12.12250972
53.32,-60.42,9,2004,-11.03443423
53.32,-60.42,10,2004,-14.43479414
53.32,-60.42,11,2004,-18.87137359
53.32,-60.42,12,2004,-19.39237968
53.32,-60.42,1,2005,-22.31805236
53.32,-60.42,2,2005,-18.93832709
53.32,-60.42,3,2005,-18.67507277
53.32,-60.42,4,2005,-14.88433113
53.32,-60.42,5,2005,-12.93204388
53.32,-60.42,6,2005,-11.33725007
53.32,-60.42,7,2005,-10.9732601
53.32,-60.42,8,2005,-11.59811527
53.32,-60.42,9,2005,-11.20110989
53.32,-60.42,10,2005,-15.55489865
53.32,-60.42,11,2005,-17.17798842
53.32,-60.42,12,2005,-18.40314821
53.32,-60.42,1,2006,-18.38682158
53.32,-60.42,2,2006,-21.01790153
53.32,-60.42,3,2006,-16.49363137
53.32,-60.42,4,2006,-13.7847304
53.32,-60.42,5,2006,-10.24401429
53.32,-60.42,6,2006,-11.54797047
53.32,-60.42,7,2006,-11.7990265
53.32,-60.42,8,2006,-11.4780163
53.32,-60.42,9,2006,-10.97097084
53.32,-60.42,10,2006,-14.49899461
